ID,group,precision_pre,log_precision_pre,precision_post1,log_precision_post1,delta_pi,delta_log_pi
EC_002,EC,0.5794039234455307,-0.5457554221034855,0.7856579937256407,-0.2412337037326516,0.20625407028011,0.30452171837083386
EC_003,EC,0.22669627887350838,-1.4841441359240213,0.2757956497216668,-1.2880950870552876,0.049099370848158436,0.19604904886873364
EC_004,EC,1.0040900434547064,0.004081701963946818,0.995067719983739,-0.004944483854375585,-0.00902232347096743,-0.009026185818322404
EC_005,EC,0.21273519231192597,-1.5477071153049897,0.19259192964064853,-1.6471816826733507,-0.020143262671277445,-0.09947456736836102
EC_006,EC,0.3792122601423749,-0.9696591775248352,0.2984555067636267,-1.2091344133276922,-0.08075675337874821,-0.239475235802857
EC_007,EC,0.5750571429297758,-0.5532858641142473,1.8088651760349752,0.5926996740806764,1.2338080331051993,1.1459855381949238
EC_008,EC,0.995423311015766,-0.0045871940899186205,0.6553693109994654,-0.4225563686543481,-0.3400540000163006,-0.41796917456442945
EC_009,EC,1.0254609362835203,0.025142205443498458,1.3290463396791488,0.2844616472038545,0.30358540339562845,0.25931944176035604
EC_010,EC,0.579795118824864,-0.5450804812522272,0.5914743034691036,-0.5251370395012775,0.01167918464423956,0.019943441750949642
EC_011,EC,1.237801176283199,0.21333656062417447,1.0551099020810997,0.05364493409116256,-0.1826912742020994,-0.15969162653301192
EC_012,EC,0.40206892851086307,-0.9111317411040094,0.5013583906378194,-0.6904340830640489,0.09928946212695633,0.22069765803996055
EC_013,EC,0.27395176810600214,-1.2948032168991674,0.765554170799946,-0.26715530113674174,0.4916024026939439,1.0276479157624256
EC_014,EC,0.21392868271774684,-1.5421125778314684,0.2737875507746403,-1.295402835479107,0.059858868056893444,0.24670974235236143
EC_015,EC,0.4090400207640079,-0.8939422774476136,0.3616135901461383,-1.0171790678016075,-0.04742643061786961,-0.12323679035399393
EC_016,EC,0.6223255432508857,-0.4742919417269564,1.4506857926062373,0.3720364050400524,0.8283602493553516,0.8463283467670089
EC_017,EC,0.9002985042442614,-0.10502889926610773,0.6450329132890207,-0.43845393513319597,-0.2552655909552407,-0.33342503586708827
EC_018,EC,0.28835072967554476,-1.2435777284035607,0.6315532913970893,-0.45957295215814276,0.3432025617215445,0.784004776245418
EC_019,EC,0.3307816436564488,-1.106296808132703,0.5005916441443767,-0.6919645918049999,0.16981000048792794,0.414332216327703
EC_020,EC,0.492811342913303,-0.7076288497523492,1.2460771369067751,0.22000032607889874,0.7532657939934722,0.9276291758312479
EC_021,EC,1.1945911103256628,0.17780395973946228,1.5109087437225834,0.41271128684240804,0.31631763339692065,0.23490732710294576
EC_022,EC,1.188528800209426,0.1727162399262164,0.9637034923919692,-0.03697161219043326,-0.2248253078174569,-0.20968785211664967
EC_023,EC,0.17602827267619436,-1.7371106566395917,0.5633023886863611,-0.5739386925678944,0.3872741160101667,1.1631719640716973
EC_024,EC,0.1333019840954912,-2.015138167470953,0.2698735404449993,-1.3098017984248778,0.13657155634950807,0.7053363690460752
EC_025,EC,0.34633461206897864,-1.0603498843471175,1.075295763435309,0.07259575251567645,0.7289611513663304,1.132945636862794
EC_026,EC,1.0224440942307667,0.022195931871123988,1.0090937819583317,0.009052682501599327,-0.013350312272434994,-0.01314324936952466
EO+_001,EO+,0.6035203916598929,-0.5049754500180491,0.6418610993684496,-0.44338335482444874,0.03834070770855669,0.06159209519360037
EO+_002,EO+,1.2866123999324854,0.25201271770091255,1.0627558666650754,0.06086540850976895,-0.22385653326741006,-0.1911473091911436
EO+_003,EO+,0.48437893902108475,-0.7248877467350294,0.4911958497350777,-0.7109123514213047,0.00681691071399293,0.013975395313724714
EO+_004,EO+,0.2659407223208654,-1.3244818434526355,0.41304984910883724,-0.8841869932833681,0.14710912678797183,0.4402948501692674
EO+_005,EO+,0.5833863713305807,-0.5389055825848716,0.6402690165683265,-0.4458668525578417,0.05688264523774578,0.09303873002702995
EO+_006,EO+,0.34982380541544783,-1.050325664352314,0.648261876691128,-0.43346053357249253,0.2984380712756802,0.6168651307798214
EO+_007,EO+,0.7012434778568979,-0.35490012292730966,0.8202950656702818,-0.19809116726608061,0.11905158781338387,0.15680895566122904
EO+_008,EO+,0.33707674877984145,-1.0874446333723895,0.40154873660739693,-0.9124263666422507,0.06447198782755548,0.17501826673013876
EO+_009,EO+,0.4463508225202028,-0.8066500385888822,0.4979295170065202,-0.6972967440895204,0.05157869448631741,0.10935329449936182
EO+_010,EO+,0.7585197792828424,-0.2763864036939373,0.5113337209233111,-0.6707328277246798,-0.24718605835953134,-0.3943464240307425
EO+_012,EO+,0.5604543683127853,-0.579007452250136,0.4342780804668134,-0.8340702116641447,-0.1261762878459719,-0.2550627594140088
EO+_013,EO+,0.6041793224533869,-0.5038842336317587,0.6483288303842619,-0.4333572570445519,0.04414950793087502,0.0705269765872068
EO+_014,EO+,0.9337177797933246,-0.06858104937589968,0.951490775784513,-0.04972528668649919,0.017772995991188423,0.018855762689400486
EO+_015,EO+,1.02549538523908,0.02517579850952472,0.8283106982890472,-0.18836695550207833,-0.19718468695003277,-0.21354275401160305
EO+_016,EO+,0.12803709449314055,-2.055435256318979,0.8362933522281359,-0.17877582765394892,0.7082562577349953,1.8766594286650302
EO+_017,EO+,0.5480442123916209,-0.6013993157417876,0.43246775655585507,-0.8382475067052325,-0.11557645583576587,-0.2368481909634449
EO+_018,EO+,0.3535211447164677,-1.0398119801119767,0.6597059498707527,-0.4159610737387268,0.30618480515428503,0.6238509063732499
EO+_019,EO+,0.9319013206679042,-0.07052834901382546,1.1362050392630705,0.12769379632122344,0.20430371859516627,0.1982221453350489
EO+_020,EO+,0.8531811621764537,-0.1587833716530027,1.111992645948834,0.10615358245115726,0.2588114837723804,0.26493695410415996
EO+_021,EO+,0.6213295603028263,-0.47589364489713987,0.4308336619988813,-0.8420331984078809,-0.19049589830394498,-0.36613955351074107
EO+_022,EO+,0.1534712618250937,-1.8742419488631181,0.2932556500589376,-1.2267105245960088,0.1397843882338439,0.6475314242671093
EO+_023,EO+,0.25903415348526315,-1.3507953592377857,0.6038788863368787,-0.5043816204638103,0.34484473285161554,0.8464137387739754
EO+_024,EO+,0.32178431134022434,-1.1338737984394582,0.8166136334335566,-0.20258920487286747,0.4948293220933323,0.9312845935665908
EO-_001,EO-,0.6276090526217336,-0.46583783403714435,0.4371263203398141,-0.8275330630945765,-0.19048273228191953,-0.3616952290574322
EO-_002,EO-,0.5337668257711021,-0.6277961912432325,0.3701984500009408,-0.9937160657749496,-0.1635683757701613,-0.36591987453171715
EO-_003,EO-,0.2902104987695753,-1.2371487614828796,0.3658209215584001,-1.0056113506794742,0.07561042278882485,0.2315374108034054
EO-_004,EO-,0.1898686320623779,-1.661422856153926,0.6651485629947427,-0.40774486027740403,0.47527993093236476,1.2536779958765218
EO-_005,EO-,0.24692112353877138,-1.3986863312530755,0.22125403637942928,-1.508443751737665,-0.0256670871593421,-0.10975742048458947
EO-_006,EO-,0.6724592928846225,-0.39681370036480307,0.25738456675243293,-1.3571839438444333,-0.41507472613218954,-0.9603702434796302
EO-_007,EO-,0.42525696756871745,-0.8550616631990818,0.30452079856414704,-1.18901589017745,-0.1207361690045704,-0.3339542269783681
EO-_008,EO-,0.2656859573620539,-1.3254402790919668,0.3462240349415477,-1.0606692136309201,0.08053807757949377,0.2647710654610467
EO-_009,EO-,0.6244495831128374,-0.47088468428022007,0.6832685598688011,-0.380867290446591,0.0588189767559637,0.09001739383362906
EO-_010,EO-,0.4155543107580534,-0.8781419614162759,0.44046319941443696,-0.819928379855301,0.024908888656383577,0.05821358156097489
EO-_013,EO-,0.419360934353504,-0.8690233113632047,0.32522381606907175,-1.1232416688452966,-0.09413711828443228,-0.254218357482092
EO-_014,EO-,0.952478618269016,-0.04868762024477313,0.7585494719375822,-0.27634725893542395,-0.19392914633143388,-0.2276596386906508
EO-_015,EO-,0.43383303254798417,-0.8350955365359188,0.23724302914513978,-1.4386702238199003,-0.19659000340284438,-0.6035746872839814
EO-_016,EO-,0.5020083780535828,-0.689138470079907,0.5409370038891012,-0.6144524507436735,0.03892862583551837,0.07468601933623353
EO-_017,EO-,0.4285132141167774,-0.8474337033409592,0.7849293498334157,-0.24216156546220008,0.35641613571663827,0.6052721378787591
EO-_018,EO-,0.31516645381247754,-1.1546543549222084,0.3732879102489928,-0.9854052797392888,0.058121456436515284,0.16924907518291954
EO-_019,EO-,0.3424881819951504,-1.071518126998821,0.8638948821394468,-0.14630418177022453,0.5214067001442964,0.9252139452285965
EO-_020,EO-,0.46855602886430775,-0.7580995924279459,0.7043803314057663,-0.35043682522896275,0.23582430254145853,0.40766276719898314
EO-_021,EO-,0.10643871346544564,-2.2401859198919043,0.5597818336579161,-0.5802081539137397,0.4533431201924705,1.6599777659781645
EO-_022,EO-,0.303161141329626,-1.193490795268954,0.5398864768939265,-0.6163963894990252,0.23672533556430053,0.5770944057699288
EO-_023,EO-,0.3439483743235757,-1.0672637075118327,0.4333075750463097,-0.8363074681682001,0.08935920072273396,0.23095623934363263
