subject,group,delta_log_pi,state_slope,error_slope,early_state,late_state,early_error,late_error
EC_002,EC,0.3045217183708338,0.1435140385353606,0.23106944415333341,-0.5638297166745219,-0.42031567813916126,2.6423055522266665,2.411236108073333
EC_003,EC,0.1960490488687336,1.124310200059922,1.30174999836,-0.9996780299067552,0.12463217015316687,2.472972219106667,1.171222220746667
EC_004,EC,-0.0090261858183224,-0.254793089271415,0.7602361101533344,-3.0459851966890383,-3.3007782859604533,5.8966805481266675,5.136444437973333
EC_005,EC,-0.099474567368361,-0.036114356794647584,2.6193749966999995,-3.8643291394327206,-3.900443496227368,7.590013879326667,4.970638882626668
EC_006,EC,-0.239475235802857,1.4620533982762192,2.039055552986667,-2.6141683725933307,-1.1521149743171115,3.6194999954400005,1.5804444424533335
EC_007,EC,1.1459855381949238,1.3786423921332047,1.5345833313999995,-2.2385004145718037,-0.859858022438599,3.3072916624999995,1.7727083311
EC_008,EC,-0.4179691745644294,2.2569881529579625,2.490611107973333,-3.953683052605077,-1.6966948996471147,4.4291249944199995,1.9385138864466667
EC_009,EC,0.259319441760356,2.3508840233028634,1.9155833309200008,-3.0335501841824613,-0.6826661608795977,3.242027773693334,1.3264444427733333
EC_010,EC,0.0199434417509496,1.0955432539952916,0.13581944427333315,-0.520911608228509,0.5746316457667827,1.3775972204866664,1.2417777762133333
EC_011,EC,-0.1596916265330119,3.5689371742762783,5.117041660220001,-6.0262896279991915,-2.457352453722913,5.224638882306667,0.10759722208666661
EC_012,EC,0.2206976580399605,0.19375038841876968,1.5275277758533345,-3.7658934110575846,-3.572143022638815,6.584597213926667,5.0570694380733325
EC_013,EC,1.0276479157624256,1.5934136308284734,4.263319439073334,-2.806712224084046,-1.2132985932555727,4.332111105653334,0.06879166658000004
EC_014,EC,0.2467097423523614,0.7462081463008032,2.9933194406733326,-2.7657070293063044,-2.019498883005501,5.245805548946666,2.252486108273333
EC_015,EC,-0.1232367903539939,1.0185849675947467,1.0177638876066661,-1.0362971563483123,-0.017712188753565505,2.358319441473333,1.3405555538666667
EC_016,EC,0.8463283467670089,0.7898867126090637,1.4781388870266665,-1.5760075466734913,-0.7861208340644276,3.32845832914,1.8503194421133335
EC_017,EC,-0.3334250358670882,2.700865487929533,2.92099999632,-4.878621572829849,-2.177756084900316,5.04295832698,2.12195833066
EC_018,EC,0.784004776245418,0.6853073259126846,2.3071666637600003,-1.1206122003822672,-0.43530487446958255,3.250847218126667,0.9436805543666668
EC_019,EC,0.414332216327703,1.311717379948808,2.5682222189866666,-1.6247898130475733,-0.31307243309876537,2.9368749963,0.3686527773133334
EC_020,EC,0.927629175831248,1.7411232460229855,1.2029722207066664,-1.3364018811150242,0.40472136490796135,1.9120555531466665,0.7090833324400001
EC_021,EC,0.2349073271029457,2.3686331966094154,4.2315694391133345,-5.866775949031649,-3.498142752422234,6.531680547326668,2.300111108213333
EC_022,EC,-0.2096878521166496,2.1003309123763167,2.6034999967199997,-4.743275736636367,-2.64294482426005,5.1999444378933335,2.596444441173334
EC_023,EC,1.163171964071697,1.0601576707864433,0.7161388879866671,-0.30741504555922816,0.7527426252272151,1.0830277764133338,0.36688888842666667
EC_024,EC,0.7053363690460752,-0.014556980123920926,3.4289999956799986,-2.1675852125879507,-2.1821421927118716,6.002513881326665,2.573513885646667
EC_025,EC,1.132945636862794,1.003956217803512,1.5187083314200003,-0.538444639934556,0.465511577868956,1.869722219866667,0.35101388844666664
EC_026,EC,-0.0131432493695246,1.7614505489594507,2.677583329960001,-3.7974066245391516,-2.035956075579701,4.813652771713334,2.1360694417533335
EO+_001,EO+,0.0615920951936003,1.8644817746193165,0.8290277767333337,-0.8306456216043667,1.0338361530149498,1.3334999983200004,0.5044722215866667
EO+_002,EO+,-0.1911473091911436,2.7658595485554107,3.6829999953600008,-5.86533358386097,-3.099474035305559,6.26533332544,2.5823333300799995
EO+_003,EO+,0.0139753953137247,2.691366852405297,3.7059305508866673,-4.200026370525391,-1.5086595181200944,4.589638883106668,0.8837083322200001
EO+_004,EO+,0.4402948501692674,1.2981125431642364,1.7391944422533332,-1.0388324266809632,0.2592801164832731,2.3036388859866666,0.5644444437333334
EO+_005,EO+,0.0930387300270299,1.2227953853738829,1.5434027758333337,-1.4085822275346387,-0.18578684216075575,2.7992916631400004,1.2558888873066667
EO+_006,EO+,0.6168651307798214,1.7410842288343713,2.284236108233334,-1.4255506330401144,0.315533595794257,2.324805552626667,0.040569444393333175
EO+_007,EO+,0.156808955661229,1.5627631834660507,2.423583330280001,-3.336464870309445,-1.7737016868433941,4.669013883006667,2.2454305527266665
EO+_008,EO+,0.1750182667301387,-0.28461783679471786,1.349374998300001,-4.048188227070266,-4.332806063864984,7.916333323360001,6.56695832506
EO+_009,EO+,0.1093532944993618,0.2817934975104681,1.523999998079999,-1.7642653678559224,-1.4824718703454542,4.51908332764,2.995083329560001
EO+_010,EO+,-0.3943464240307425,1.2485963419929473,4.007555550506668,-5.017348894582168,-3.7687525525892203,7.110236102153334,3.1026805516466665
EO+_012,EO+,-0.2550627594140088,1.064879363248507,0.9313333321600006,-1.1598117547448454,-0.09493239149633857,2.4394583302600004,1.5081249980999998
EO+_013,EO+,0.0705269765872068,1.5072095135688284,3.0091944406533333,-2.4826987189098846,-0.9754892053410561,4.056944439333333,1.0477499986799998
EO+_014,EO+,0.0188557626894004,1.3097379644003535,2.0937361084733332,-2.2007886569017114,-0.8910506925013578,3.7359166619599997,1.6421805534866667
EO+_015,EO+,-0.213542754011603,2.292310910433992,1.5063611092133333,-1.2432469636735952,1.0490639467603964,1.47637499814,-0.029986111073333346
EO+_016,EO+,1.8766594286650304,1.7187842812156195,1.2894027761533335,-0.566589150348393,1.1521951308672265,0.9454444432533335,-0.3439583329000001
EO+_017,EO+,-0.2368481909634449,1.7925699218334805,3.4325277734533333,-3.4263615162085435,-1.633791594375063,4.62491666084,1.192388887386667
EO+_018,EO+,0.6238509063732499,1.2807004337693084,2.0919722195866672,-1.6811223488272728,-0.40042191505796443,3.4589861067533336,1.3670138871666666
EO+_019,EO+,0.1982221453350489,2.2464702543379786,1.6615833312399997,-1.309429402262325,0.9370408520756537,1.6845138867666665,0.022930555526666726
EO+_020,EO+,0.2649369541041599,0.6400625138913161,0.9736666654400006,-2.7275190390222077,-2.0874565251308916,4.702527771853334,3.7288611064133335
EO+_021,EO+,-0.366139553510741,1.459377505861346,1.2170833317999998,-0.7920374434899516,0.6673400623713943,1.7497777755733332,0.5326944437733334
EO+_022,EO+,0.6475314242671093,-0.1473308913728817,0.22577777749333316,-0.7509898260036286,-0.8983207173765103,3.7905972174466664,3.5648194399533333
EO+_023,EO+,0.8464137387739754,1.5436158094901253,2.658180552206666,-2.6886544535676995,-1.1450386440775742,4.025194439373333,1.367013887166667
EO+_024,EO+,0.9312845935665908,1.1263202883159127,2.7463749965400006,-3.2258202806239225,-2.0994999923080098,5.24933332672,2.50295833018
EO-_001,EO-,-0.3616952290574322,0.37837351833648203,0.9877777765333335,-0.6219170486772595,-0.24354353034077747,3.139722218266667,2.1519444417333333
EO-_002,EO-,-0.3659198745317171,0.7807060274314153,3.0215416628600003,-4.26259015885091,-3.4818841314194944,6.829777769173333,3.8082361063133328
EO-_003,EO-,0.2315374108034054,-0.1452092718116087,2.7357916632200014,-3.9822022478828187,-4.127411519694427,7.717013879166669,4.9812222159466675
EO-_004,EO-,1.2536779958765218,0.932408262980323,2.3018749970999997,-3.1335072042137626,-2.2010989412334396,5.38691665988,3.08504166278
EO-_005,EO-,-0.1097574204845894,1.2502777256504665,5.041194438093333,-4.322899955478198,-3.072622229827732,6.7468749914999995,1.7056805534066668
EO-_006,EO-,-0.9603702434796302,1.8345429932637978,0.91016666552,-0.7131000360318797,1.121442957231918,1.3052777761333334,0.3951111106133333
EO-_007,EO-,-0.3339542269783681,1.741318621827627,1.5098888869866665,-0.2624591833574524,1.4788594384701748,0.9383888877066665,-0.57149999928
EO-_008,EO-,0.2647710654610467,0.6713636455896772,2.8257499964400004,-3.0526246152653287,-2.3812609696756515,5.640916659560001,2.8151666631200007
EO-_009,EO-,0.090017393833629,1.0160682919787656,0.5926666659199995,-0.9881608139945335,0.027907477984232047,2.220736108313333,1.6280694423933335
EO-_010,EO-,0.0582135815609748,0.9757206000213356,3.079749996119999,-3.483716474133024,-2.5079958741116886,5.953124992499999,2.8733749963800004
EO-_013,EO-,-0.254218357482092,1.445690711360526,0.7002638880066667,-0.23606394966295183,1.2096267616975742,1.0706805542066666,0.3704166661999999
EO-_014,EO-,-0.2276596386906508,1.5699456068349984,0.18520833309999984,-0.45411029297033256,1.115835313864666,1.2082638873666665,1.0230555542666666
EO-_015,EO-,-0.6035746872839814,1.5951499620270269,2.8151666631199994,-1.8131679040801723,-0.21801794205314545,2.9950833295599995,0.17991666644000004
EO-_016,EO-,0.0746860193362335,1.210825191155279,1.1447638874466668,-1.6478467626602802,-0.4370215715050013,3.1026805516466665,1.9579166641999997
EO-_017,EO-,0.6052721378787591,2.550984229564219,3.109736107193334,-2.4100807043605337,0.14090352520368532,2.5946805522866674,-0.5150555549066668
EO-_018,EO-,0.1692490751829195,1.0405214333608979,2.2754166638,-0.942986210266501,0.09753522309439686,2.8151666631200003,0.53974999932
EO-_019,EO-,0.9252139452285963,1.7980386583780965,4.021666661599999,-3.2138868137795344,-1.415848155401438,4.796013882846666,0.7743472212466668
EO-_020,EO-,0.4076627671989831,0.5663779800580773,2.326569441513333,-1.994732327598832,-1.4283543475407547,4.55612499426,2.229555552746667
EO-_021,EO-,1.6599777659781645,-0.28497157900301273,3.257902773673332,-3.483639408463735,-3.7686109874667477,8.179152767473333,4.921249993800001
EO-_022,EO-,0.5770944057699288,0.5445978927849053,1.5028333314399998,-2.0171241037965357,-1.4725262110116304,4.289777772373333,2.7869444409333335
EO-_023,EO-,0.2309562393436326,1.0391353121871223,2.224263886086665,-3.1306890746851646,-2.0915537624980423,5.256388882266665,3.0321249961800003
