true_model,sim,waic_m3,waic_m2,delta_waic,winner
M3,0,35650.78144174017,35752.64138511456,-101.85994337439479,M3
M3,1,35658.6015038023,35770.16870451977,-111.56720071746531,M3
M3,2,35598.75137142522,35710.714146687904,-111.96277526268386,M3
M3,3,35653.23835855138,35765.0232193273,-111.78486077591515,M3
M3,4,35330.432826309276,35422.27913762342,-91.8463113141479,M3
M3,5,35375.55695454885,35433.18909765483,-57.63214310598414,M3
M3,6,35360.86602987817,35473.16309479362,-112.29706491545221,M3
M3,7,35603.275141412174,35710.05580257806,-106.78066116588889,M3
M3,8,35698.505925938895,35814.97096503139,-116.46503909249441,M3
M3,9,35788.655895591204,35860.3678700353,-71.71197444409336,M3
M3,10,35456.81863705845,35578.751273017886,-121.93263595943426,M3
M3,11,35610.144973065,35744.99700489274,-134.8520318277442,M3
M3,12,35490.57151083569,35601.72501445818,-111.15350362248864,M3
M3,13,35230.34571478015,35349.29438565381,-118.94867087365856,M3
M3,14,35521.44278187662,35635.53770707818,-114.09492520156346,M3
M3,15,35408.39206316819,35544.448929155005,-136.05686598681496,M3
M3,16,35707.25564740872,35815.60518562698,-108.34953821825911,M3
M3,17,35322.172446132296,35445.02118270946,-122.84873657716525,M3
M3,18,35122.7628515078,35246.87651647368,-124.11366496588016,M3
M3,19,35658.630106775956,35755.44999189326,-96.81988511730742,M3
M3,20,35261.58004438664,35382.03168248986,-120.45163810322265,M3
M3,21,35411.70154721395,35558.05259762545,-146.35105041150382,M3
M3,22,35657.52253769675,35785.56676542372,-128.04422772696853,M3
M3,23,35246.45390525629,35340.870147246154,-94.41624198986392,M3
M3,24,35529.68309064988,35613.36207313291,-83.67898248302663,M3
M3,25,35794.70803669593,35850.091312525234,-55.38327582930651,M3
M3,26,35350.4031279608,35434.26983935633,-83.86671139553073,M3
M3,27,35613.39955484351,35673.41215019369,-60.012595350177435,M3
M3,28,35427.19379507803,35520.106620793034,-92.91282571500778,M3
M3,29,35497.63939488423,35587.49829526682,-89.85890038259095,M3
M3,30,35244.24701386219,35364.40150211583,-120.15448825364001,M3
M3,31,35336.33425669124,35463.07079071178,-126.73653402054333,M3
M3,32,35507.472346116876,35605.842406774325,-98.37006065744936,M3
M3,33,35379.938886552605,35474.51997354326,-94.58108699065633,M3
M3,34,35324.51883525348,35447.80599185304,-123.28715659955924,M3
M3,35,35426.16293042458,35536.687285426495,-110.52435500191496,M3
M3,36,35259.11192748108,35368.903229056195,-109.79130157511827,M3
M3,37,35349.03878431367,35421.66609220152,-72.6273078878512,M3
M3,38,35160.108920667255,35211.9984582671,-51.889537599847245,M3
M3,39,35679.247118405685,35758.24334057296,-78.99622216727585,M3
M3,40,35534.41178217585,35622.810073101464,-88.39829092561558,M3
M3,41,35656.89306056882,35740.38592540758,-83.49286483875767,M3
M3,42,35488.53452741356,35554.23819264182,-65.70366522825498,M3
M3,43,35329.558223447915,35440.19481037937,-110.63658693145408,M3
M3,44,35415.464395080824,35514.51372200488,-99.04932692405418,M3
M3,45,35659.9260846557,35789.20254695843,-129.2764623027324,M3
M3,46,35504.67501702014,35601.3720961775,-96.69707915736217,M3
M3,47,35304.17022160748,35409.66367522145,-105.4934536139699,M3
M3,48,35429.05714027869,35513.40447143227,-84.3473311535854,M3
M3,49,35752.67886832261,35807.22450026202,-54.54563193940703,M3
M3,50,35527.69417251678,35672.85476021227,-145.16058769549272,M3
M3,51,35614.59795180388,35724.05270095479,-109.45474915090745,M3
M3,52,35176.91996982205,35307.92272097829,-131.0027511562439,M3
M3,53,35308.21189983687,35461.389901171664,-153.17800133479614,M3
M3,54,35565.03768400691,35645.59551896896,-80.5578349620555,M3
M3,55,35452.71693249471,35517.61829832213,-64.9013658274198,M3
M3,56,35559.98127610564,35694.116833946005,-134.13555784036726,M3
M3,57,35390.79189449361,35519.242162098526,-128.450267604916,M3
M3,58,35669.051748231126,35751.751585686674,-82.69983745554782,M3
M3,59,35682.049335794145,35804.34275014581,-122.29341435166862,M3
M3,60,35627.291199367784,35705.040724948405,-77.74952558062068,M3
M3,61,35451.39505388574,35551.585273070355,-100.19021918461658,M3
M3,62,35412.289459946434,35521.003208322705,-108.71374837627081,M3
M3,63,35612.56961132099,35718.428005159854,-105.85839383886196,M3
M3,64,35611.5097295266,35713.46038835827,-101.95065883166535,M3
M3,65,35522.987398007564,35633.33677966987,-110.34938166230859,M3
M3,66,35345.00174864899,35416.82323680488,-71.8214881558888,M3
M3,67,35569.67961562902,35710.61058295087,-140.93096732184495,M3
M3,68,35186.59202352716,35313.235118109216,-126.64309458205389,M3
M3,69,35644.931264913146,35762.71645514649,-117.78519023334229,M3
M3,70,35778.62965773415,35898.09742825421,-119.46777052005928,M3
M3,71,35468.46237692722,35556.19859489176,-87.73621796453517,M3
M3,72,35337.03960774104,35436.69979345352,-99.66018571247696,M3
M3,73,35501.194334509906,35578.394545281124,-77.20021077121783,M3
M3,74,35448.48495438149,35562.40463779661,-113.91968341511529,M3
M3,75,35262.2768364883,35366.81328580686,-104.53644931855524,M3
M3,76,35785.88190421784,35912.5167920902,-126.63488787236565,M3
M3,77,35553.69378557837,35665.78753448822,-112.09374890985055,M3
M3,78,35152.79657597937,35255.06475829041,-102.26818231103971,M3
M3,79,35427.005426609074,35522.959143191416,-95.95371658234217,M3
M3,80,35590.94018923385,35661.28277647113,-70.34258723728271,M3
M3,81,35505.799474550666,35626.39995784288,-120.60048329221172,M3
M3,82,35817.085134202585,35941.76629413663,-124.68115993404354,M3
M3,83,35561.62098240787,35668.10383831706,-106.48285590919113,M3
M3,84,35343.71442042701,35456.63826015711,-112.92383973010146,M3
M3,85,35487.84555264088,35642.45646113236,-154.61090849147877,M3
M3,86,35465.957224698555,35612.05624413885,-146.09901944029116,M3
M3,87,35519.44651613583,35608.29203145788,-88.84551532204932,M3
M3,88,35415.610480780655,35487.90455009789,-72.29406931723497,M3
M3,89,35654.39220590686,35783.79454861628,-129.40234270942165,M3
M3,90,35601.848114581495,35696.85216901799,-95.00405443649652,M3
M3,91,35655.70273226802,35736.83475102264,-81.13201875461527,M3
M3,92,35226.13734661362,35332.997485419386,-106.86013880576502,M3
M3,93,35266.53679204448,35416.991283773,-150.45449172852386,M3
M3,94,35580.069856126676,35701.3722217071,-121.30236558042088,M3
M3,95,35334.77823267133,35444.51492886062,-109.73669618929125,M3
M3,96,35536.82129546402,35672.628697550004,-135.8074020859858,M3
M3,97,35661.78372446136,35781.85978853964,-120.07606407827552,M3
M3,98,35429.66655012485,35536.330095445854,-106.66354532100377,M3
M3,99,35820.613253245705,35906.922004146996,-86.3087509012912,M3
M2,0,35557.74273222188,35489.78583325532,67.95689896655676,M2
M2,1,35213.695340194485,35135.37933937581,78.31600081867509,M2
M2,2,35362.98269239989,35265.35963800252,97.62305439737247,M2
M2,3,35477.52435798016,35391.22693969411,86.29741828604892,M2
M2,4,35206.9641425301,35102.22418785847,104.73995467163331,M2
M2,5,35621.65702724667,35538.85746755788,82.79955968879221,M2
M2,6,34911.79757518682,34816.49693394968,95.30064123713964,M2
M2,7,35453.502508170066,35379.505340218944,73.99716795112181,M2
M2,8,35549.34921577031,35453.837786309065,95.5114294612431,M2
M2,9,35375.99172673691,35290.785462497566,85.206264239343,M2
M2,10,35447.254988817556,35358.40087723135,88.85411158620991,M2
M2,11,35284.620310546874,35172.959249894695,111.661060652179,M2
M2,12,35498.94615087325,35415.707061601686,83.23908927156299,M2
M2,13,35494.65253223418,35426.99441002885,67.65812220532825,M2
M2,14,35462.759053078684,35376.60544816095,86.15360491773026,M2
M2,15,35232.44363567671,35138.61937515472,93.82426052199298,M2
M2,16,35346.89800925479,35274.370924248935,72.52708500585868,M2
M2,17,35211.033124630776,35125.959170147114,85.07395448366151,M2
M2,18,35118.110801849456,35043.724502792524,74.38629905693233,M2
M2,19,35267.880280623904,35195.22995564189,72.65032498201617,M2
M2,20,35275.81711724507,35221.06530903876,54.75180820631067,M2
M2,21,35201.31790212079,35107.16359503207,94.15430708872009,M2
M2,22,35531.540985985106,35439.26665774337,92.27432824173593,M2
M2,23,35351.55466981654,35275.778242831155,75.77642698538693,M2
M2,24,35274.626584812126,35180.7036989787,93.92288583342452,M2
M2,25,35064.97846994859,34939.12485091833,125.85361903026205,M2
M2,26,35621.51229183712,35554.853980996304,66.65831084081583,M2
M2,27,35248.951733041285,35170.895350361265,78.05638268002076,M2
M2,28,35167.46479254548,35111.279899247675,56.18489329780277,M2
M2,29,35240.16507445664,35209.25279644375,30.912278012896422,M2
M2,30,35490.02382396003,35378.74697459422,111.27684936580772,M2
M2,31,35250.595713362716,35180.69863622855,69.89707713416283,M2
M2,32,35121.081092263725,35013.251392342376,107.82969992134895,M2
M2,33,35177.73267972516,35104.52796449346,73.20471523169545,M2
M2,34,35740.28958997879,35637.35303689259,102.93655308619782,M2
M2,35,35358.3877161402,35291.34525155958,67.04246458061971,M2
M2,36,35433.307353532095,35383.93409780683,49.37325572526606,M2
M2,37,35457.53882129351,35385.9631567363,71.57566455720371,M2
M2,38,35329.62263548299,35262.35291510227,67.26972038072563,M2
M2,39,35550.075625091515,35470.73309398699,79.34253110452119,M2
M2,40,35256.933371130246,35158.070665998144,98.86270513210184,M2
M2,41,35007.43313548857,34917.872069984805,89.56106550376717,M2
M2,42,35501.03429020191,35408.393417044834,92.6408731570773,M2
M2,43,35451.17201269695,35367.886224101625,83.28578859532718,M2
M2,44,35105.27782589405,35020.38048422832,84.8973416657318,M2
M2,45,35310.255256583376,35219.57309939536,90.68215718801366,M2
M2,46,35425.095706895416,35353.01758116542,72.07812572999683,M2
M2,47,35274.7178474121,35205.46134554876,69.25650186333951,M2
M2,48,35438.814178662375,35356.60754338478,82.20663527759461,M2
M2,49,35320.36821167371,35228.363752948884,92.00445872482669,M2
M2,50,35295.40965286146,35209.78787195911,85.62178090235102,M2
M2,51,35498.20064069309,35390.59480007051,107.6058406225784,M2
M2,52,35145.44613958664,35059.13118264641,86.31495694023033,M2
M2,53,35344.37927144854,35262.40324278087,81.97602866766829,M2
M2,54,35162.51202682056,35081.261036244156,81.25099057640182,M2
M2,55,35335.62550647762,35257.90436497124,77.72114150637935,M2
M2,56,35584.321257126634,35519.19883477031,65.12242235632584,M2
M2,57,35131.71515883173,35016.583775136074,115.13138369565422,M2
M2,58,35344.94395189181,35259.71116729488,85.23278459692665,M2
M2,59,35503.05743010316,35419.44085024481,83.61657985834609,M2
M2,60,35438.084905299635,35365.11669917444,72.96820612519514,M2
M2,61,35570.28616571099,35475.60293382076,94.68323189023067,M2
M2,62,35306.54791007083,35215.92184361775,90.62606645308551,M2
M2,63,35244.699516453744,35148.186405804896,96.51311064884794,M2
M2,64,35476.81600494736,35394.6421312693,82.17387367806077,M2
M2,65,35416.119024504784,35341.0776296017,75.04139490308444,M2
M2,66,35448.2132965048,35373.04774815025,75.16554835454735,M2
M2,67,35277.54930157794,35209.9217384594,67.62756311854173,M2
M2,68,35407.208429983875,35312.69962993955,94.50880004432838,M2
M2,69,35364.92650251497,35269.86839719736,95.05810531761381,M2
M2,70,34993.88628985039,34900.82623680596,93.06005304442806,M2
M2,71,35226.99812304253,35149.34421925389,77.65390378863958,M2
M2,72,35555.78231794977,35499.62876902073,56.15354892903997,M2
M2,73,35545.31291322969,35491.80782421591,53.50508901377907,M2
M2,74,35002.39956043966,34902.48743847007,99.91212196959532,M2
M2,75,35007.216785266064,34883.44151088236,123.77527438370453,M2
M2,76,35074.00014991225,34977.629438887474,96.37071102477785,M2
M2,77,35198.84992286113,35143.26614988943,55.583772971702274,M2
M2,78,35356.699969954345,35272.43853325669,84.26143669765588,M2
M2,79,35267.54895055402,35197.18571099091,70.36323956310662,M2
M2,80,35292.30495052189,35202.271857648964,90.03309287292359,M2
M2,81,34949.02489097822,34864.28477975146,84.74011122675438,M2
M2,82,35258.44611367408,35172.02976080929,86.4163528647914,M2
M2,83,35211.343699049634,35125.33512391468,86.0085751349543,M2
M2,84,35302.76155106023,35212.73837204009,90.02317902014329,M2
M2,85,35415.49764826675,35365.91342396091,49.58422430583596,M2
M2,86,35274.577548008034,35191.32728771965,83.25026028838329,M2
M2,87,35293.9441109786,35200.75911587102,93.18499510757829,M2
M2,88,35542.534172295986,35451.75344690659,90.78072538939887,M2
M2,89,35516.78695516185,35423.9252626415,92.86169252035324,M2
M2,90,35596.67433915732,35495.273065720576,101.40127343674249,M2
M2,91,35318.000896547615,35224.094800644365,93.90609590325039,M2
M2,92,35319.11489804355,35242.7094517092,76.40544633434911,M2
M2,93,35274.73990966794,35180.264439085855,94.47547058208147,M2
M2,94,35135.04142481417,35060.316798058346,74.7246267558221,M2
M2,95,35509.78314715035,35421.21699672718,88.56615042317571,M2
M2,96,35242.34534526511,35123.848023006576,118.49732225853222,M2
M2,97,35781.129126111206,35711.4100273498,69.71909876140853,M2
M2,98,35282.82633157383,35167.021339776016,115.80499179781327,M2
M2,99,35324.48631960125,35250.732784131076,73.75353547017585,M2
